Media,Melhor Caso,Posicao Melhor,Pior Caso,Posicao Pior
1.0,1,0,1,0
1.5,1,0,2,1
1.6666666666666667,1,1,2,0
2.0,1,1,3,3
2.2,1,2,3,1
2.3333333333333335,1,2,3,1
2.4285714285714284,1,3,3,0
2.625,1,3,4,7
2.7777777777777777,1,4,4,3
2.9,1,4,4,3
3.0,1,5,4,1
3.0833333333333335,1,5,4,1
3.1538461538461537,1,6,4,1
3.2142857142857144,1,6,4,1
3.2666666666666666,1,7,4,0
3.375,1,7,5,15
3.4705882352941178,1,8,5,7
3.5555555555555554,1,8,5,7
3.6315789473684212,1,9,5,3
3.7,1,9,5,3
3.761904761904762,1,10,5,3
3.8181818181818183,1,10,5,3
3.869565217391304,1,11,5,1
3.9166666666666665,1,11,5,1
3.96,1,12,5,1
4.0,1,12,5,1
4.037037037037037,1,13,5,1
4.071428571428571,1,13,5,1
4.103448275862069,1,14,5,1
4.133333333333334,1,14,5,1
4.161290322580645,1,15,5,0
4.21875,1,15,6,31
4.2727272727272725,1,16,6,15
4.323529411764706,1,16,6,15
4.371428571428571,1,17,6,7
4.416666666666667,1,17,6,7
4.45945945945946,1,18,6,7
4.5,1,18,6,7
4.538461538461538,1,19,6,3
4.575,1,19,6,3
4.609756097560975,1,20,6,3
4.642857142857143,1,20,6,3
4.674418604651163,1,21,6,3
4.704545454545454,1,21,6,3
4.733333333333333,1,22,6,3
4.760869565217392,1,22,6,3
4.787234042553192,1,23,6,1
4.8125,1,23,6,1
4.836734693877551,1,24,6,1
4.86,1,24,6,1
4.882352941176471,1,25,6,1
4.903846153846154,1,25,6,1
4.9245283018867925,1,26,6,1
4.944444444444445,1,26,6,1
4.963636363636364,1,27,6,1
4.982142857142857,1,27,6,1
5.0,1,28,6,1
5.017241379310345,1,28,6,1
5.033898305084746,1,29,6,1
5.05,1,29,6,1
5.065573770491803,1,30,6,1
5.080645161290323,1,30,6,1
5.095238095238095,1,31,6,0
5.125,1,31,7,63
5.153846153846154,1,32,7,31
5.181818181818182,1,32,7,31
5.208955223880597,1,33,7,15
5.235294117647059,1,33,7,15
5.260869565217392,1,34,7,15
5.285714285714286,1,34,7,15
5.309859154929577,1,35,7,7
5.333333333333333,1,35,7,7
5.3561643835616435,1,36,7,7
5.378378378378378,1,36,7,7
5.4,1,37,7,7
5.421052631578948,1,37,7,7
5.441558441558442,1,38,7,7
5.461538461538462,1,38,7,7
5.481012658227848,1,39,7,3
5.5,1,39,7,3
5.518518518518518,1,40,7,3
5.536585365853658,1,40,7,3
5.554216867469879,1,41,7,3
5.571428571428571,1,41,7,3
5.588235294117647,1,42,7,3
5.604651162790698,1,42,7,3
5.620689655172414,1,43,7,3
5.636363636363637,1,43,7,3
5.651685393258427,1,44,7,3
5.666666666666667,1,44,7,3
5.681318681318682,1,45,7,3
5.695652173913044,1,45,7,3
5.709677419354839,1,46,7,3
5.723404255319149,1,46,7,3
5.7368421052631575,1,47,7,1
5.75,1,47,7,1
5.762886597938144,1,48,7,1
5.775510204081633,1,48,7,1
5.787878787878788,1,49,7,1
5.8,1,49,7,1
